104,4,37,y,n,y,n,0,17,10,4,11,3
104,3,40,n,n,n,y,1,17,10,23,23,4
104,4,31,y,n,y,y,0,17,10,23,23,4
104,4,19,y,y,n,y,2,17,10,28,18,3
104,2,13,y,n,y,n,n,17,10,2,15,4
104,2,28,y,n,y,y,n,17,10,2,15,4
104,3,33,n,n,n,y,1,17,0,23,29,4
104,4,6,y,n,n,n,0,17,0,52,161,13
104,4,7,y,n,n,y,2,17,1,46,297,14
104,3,30,n,n,n,y,2,17,0,14,25,4
104,4,24,y,n,n,y,1,17,0,52,569,16
104,4,16,y,n,n,y,0,17,1,52,463,13
104,4,43,y,n,y,y,1,17,1,52,463,13
104,3,43,n,n,n,n,0,17,0,30,29,4
104,3,24,n,n,n,n,0,17,1,15,13,4
104,4,30,y,n,y,y,2,17,1,15,13,4
104,3,41,n,n,n,y,0,17,0,16,29,4
104,4,20,y,y,n,n,1,17,0,49,250,12
104,0,33,y,n,n,n,n,17,0,11,23,4
104,0,20,y,y,n,n,n,17,0,16,34,4
104,2,9,y,y,n,y,n,17,10,12,14,2
104,4,6,y,n,y,n,1,17,10,5,11,3
104,4,26,y,y,y,y,1,17,10,1,14,2
104,2,13,y,y,n,n,n,17,0,50,199,14
104,2,5,y,n,n,n,n,17,0,52,159,15
104,4,49,y,n,y,y,2,17,0,52,159,15
104,4,22,y,y,n,n,2,17,0,51,222,12
104,4,32,y,n,y,n,1,17,10,6,11,3
104,4,2,y,y,n,n,2,17,0,52,65,14
104,3,40,n,n,n,n,3,17,0,50,29,4
104,4,32,y,y,y,y,2,17,10,4,14,2
104,4,32,y,n,n,n,3,17,0,39,79,11
104,2,44,y,n,y,y,n,17,0,39,79,11
104,4,26,y,y,y,n,3,17,10,5,55,4
104,3,39,n,n,n,n,0,17,10,13,11,3
104,0,7,y,n,n,n,n,17,2,33,27,4
104,4,31,y,y,n,y,0,17,10,10,14,2
104,4,15,y,y,n,n,2,17,0,52,333,14
104,3,5,n,n,n,n,3,17,0,36,31,4
104,4,21,y,n,y,y,3,17,0,36,31,4
104,4,47,y,n,y,y,1,17,0,36,31,4
104,0,22,y,y,n,n,n,17,0,21,30,4
104,4,16,y,n,n,n,1,17,0,52,225,14
104,3,21,n,n,n,n,0,17,2,34,25,4
104,4,14,y,y,y,n,1,17,0,52,115,15
104,2,17,y,n,y,y,n,17,0,52,115,15
104,3,49,n,n,n,y,3,17,0,48,21,4
104,2,3,y,y,y,y,n,17,10,1,14,2
104,3,4,n,n,n,y,2,17,10,12,19,4
104,4,40,y,n,n,n,3,17,0,40,91,10
104,4,48,y,n,n,y,3,17,1,39,335,11
104,2,46,y,y,n,y,n,17,10,11,14,2
104,4,49,y,n,n,y,3,17,0,40,289,12
104,4,49,y,y,y,n,2,17,0,52,199,15
104,4,13,y,n,n,y,1,17,0,51,533,15
104,4,37,y,y,y,y,2,17,10,2,14,2
104,0,13,y,y,n,n,n,17,0,52,50,4
104,2,23,y,n,n,n,n,17,0,52,177,12
104,4,6,y,y,y,y,1,17,10,3,14,2
